112	1	120
112	2	204
112	3	204
112	4	29
112	5	29
112	6	62
112	7	273
112	8	53
112	9	53
112	10	195
112	11	225
116	1	160
116	2	160
116	3	118
116	4	204
25	1	29
25	2	60
25	3	31
25	4	254
25	5	182
25	6	60
25	7	60
25	8	43
25	9	120
25	10	66
25	11	203
25	12	271
26	1	31
26	2	60
26	3	251
26	4	43
26	5	120
26	6	120
26	7	182
28	1	60
28	2	235
28	3	131
32	1	57
32	2	131
32	3	83
32	4	83
33	1	225
33	2	251
33	3	268
33	4	265
33	5	258
35	1	60
35	2	268
35	3	258
35	4	66
38	1	60
38	2	268
40	1	60
40	2	118
40	3	62
40	4	258
42	1	60
42	2	55
42	3	31
42	4	31
42	5	43
42	6	120
42	7	238
42	8	31
42	9	271
42	10	80
42	11	66
45	1	55
45	2	31
45	3	224
45	4	224
47	1	60
47	2	31
47	3	31
47	4	55
47	5	43
47	6	246
47	7	271
47	8	66
48	1	224
48	2	60
48	3	224
48	4	55
48	5	31
48	6	31
48	7	120
48	8	43
48	9	246
48	10	120
49	1	227
49	2	225
49	3	251
49	4	182
49	5	182
49	6	265
49	7	187
49	8	209
49	9	187
51	1	224
51	2	31
51	3	251
51	4	182
51	5	182
51	6	182
51	7	271
51	8	83
52	1	258
52	2	29
52	3	24
52	4	224
52	5	266
52	6	265
52	7	274
53	1	224
53	2	83
53	3	117
54	1	248
54	2	203
54	3	29
54	4	29
54	5	245
54	6	225
54	7	225
546	1	273
546	2	160
546	3	273
546	4	273
546	5	122
546	6	271
546	7	271
546	8	264
546	9	99
546	10	187
546	11	187
546	12	187
546	13	264
546	14	88
55	1	250
55	2	134
55	3	250
55	4	55
55	5	83
55	6	83
55	7	238
55	8	224
55	9	60
56	1	55
56	2	224
56	3	222
56	4	58
56	5	246
56	6	246
57	1	105
57	2	250
57	3	250
57	4	203
57	5	250
57	6	251
57	7	31
57	8	60
57	9	117
57	10	43
58	1	103
58	2	117
58	3	34
58	4	34
58	5	31
58	6	60
58	7	34
58	8	61
58	9	271
58	10	94
59	1	233
59	2	250
59	3	31
59	4	238
59	5	222
59	6	61
60	1	225
60	2	31
60	3	31
60	4	238
60	5	43
60	6	222
60	7	222
60	8	66
60	9	120
60	10	195
60	11	120
60	12	29
61	1	238
61	2	260
61	3	43
61	4	43
61	5	251
61	6	254
61	7	254
61	8	43
61	9	160
62	1	60
62	2	57
62	3	241
62	4	256
62	5	256
63	1	224
63	2	60
63	3	105
63	4	117
63	5	31
63	6	251
63	7	94
63	8	94
63	9	251
64	1	258
64	2	204
64	3	62
64	4	265
64	5	223
646	1	187
646	2	120
646	3	120
646	4	99
646	5	226
646	6	195
651	1	120
651	2	136
651	3	225
651	4	118
651	5	204
651	6	118
651	7	204
651	8	204
651	9	160
651	10	160
651	11	160
651	12	204
652	1	120
652	2	118
652	3	134
652	4	271
652	5	109
652	6	52
652	7	52
652	8	88
652	9	88
652	10	222
652	11	222
655	1	120
655	2	52
655	3	53
655	4	53
655	5	52
655	6	88
656	1	224
656	2	62
656	3	187
656	4	160
66	1	265
66	2	62
66	3	204
661	1	134
661	2	117
661	3	66
661	4	222
661	5	224
661	6	271
662	1	120
662	2	52
662	3	53
662	4	53
662	5	52
662	6	53
662	7	99
662	8	134
662	9	134
662	10	131
662	11	250
662	12	250
662	13	80
662	14	58
663	1	131
663	2	120
663	3	126
663	4	160
663	5	160
663	6	160
663	7	160
663	8	160
663	9	99
663	10	27
663	11	242
663	12	264
663	13	264
663	14	264
663	15	264
664	1	120
664	2	52
664	3	52
664	4	88
664	5	71
664	6	88
668	1	52
668	2	52
668	3	52
668	4	52
668	5	120
668	6	88
668	7	88
668	8	88
668	9	120
668	10	88
669	1	53
669	2	66
669	3	88
669	4	126
669	5	122
671	1	273
671	2	273
671	3	187
671	4	104
671	5	264
672	1	120
672	2	160
672	3	51
672	4	52
672	5	273
672	6	273
672	7	53
672	8	88
672	9	88
672	10	88
672	11	88
674	1	53
674	2	120
674	3	53
674	4	120
674	5	51
674	6	88
674	7	88
674	8	88
674	9	99
674	10	264
676	1	66
676	2	120
676	3	264
676	4	271
676	5	271
676	6	53
676	7	52
676	8	52
676	9	126
676	10	122
676	11	126
678	1	66
678	2	88
678	3	122
678	4	10
678	5	51
678	6	275
678	7	51
678	8	275
679	1	66
679	2	126
679	3	273
679	4	271
679	5	126
679	6	122
682	1	51
682	2	135
682	3	120
682	4	66
682	5	66
682	6	66
682	7	160
682	8	51
682	9	275
682	10	173
682	11	271
682	12	271
682	13	264
683	1	273
683	2	273
683	3	273
683	4	99
683	5	264
683	6	264
683	7	88
683	8	88
683	9	80
683	10	88
684	1	52
684	2	53
684	3	120
685	1	184
685	2	40
685	3	184
685	4	184
685	5	274
686	1	52
686	2	53
686	3	247
686	4	247
686	5	120
686	6	53
686	7	52
686	8	273
686	9	66
686	10	184
686	11	264
686	12	88
686	13	122
686	14	126
687	1	224
687	2	131
687	3	57
687	4	83
687	5	206
687	6	206
687	7	134
687	8	134
689	1	120
689	2	224
689	3	168
689	4	118
689	5	204
689	6	52
689	7	52
689	8	51
689	9	160
689	10	273
689	11	53
690	1	224
690	2	168
690	3	118
690	4	118
690	5	120
690	6	51
690	7	160
690	8	52
690	9	273
690	10	134
692	1	264
692	2	271
692	3	271
692	4	264
692	5	160
692	6	273
692	7	273
692	8	264
692	9	99
692	10	99
692	11	99
693	1	53
693	2	53
693	3	88
693	4	88
693	5	224
693	6	118
693	7	204
693	8	273
694	1	160
694	2	224
694	3	57
694	4	160
694	5	43
694	6	203
694	7	203
694	8	88
696	1	160
696	2	160
696	3	66
696	4	39
696	5	160
696	6	273
696	7	39
696	8	53
696	9	52
696	10	53
696	11	124
696	12	53
696	13	184
696	14	264
696	15	51
698	1	264
698	2	184
698	3	184
698	4	242
698	5	49
698	6	49
698	7	99
698	8	99
700	1	271
700	2	271
700	3	264
700	4	274
700	5	273
700	6	187
700	7	160
700	8	160
700	9	273
700	10	187
700	11	97
700	12	126
702	1	120
702	2	273
702	3	273
702	4	52
702	5	273
702	6	52
702	7	53
702	8	53
702	9	52
702	10	51
702	11	80
702	12	80
702	13	264
702	14	264
702	15	88
702	16	104
702	17	88
704	1	52
704	2	51
704	3	51
704	4	51
704	5	51
704	6	271
704	7	271
704	8	264
704	9	53
704	10	66
704	11	120
704	12	275
704	13	88
705	1	160
705	2	120
705	3	66
705	4	51
705	5	51
705	6	160
705	7	273
705	8	160
705	9	273
705	10	273
705	11	264
705	12	80
705	13	271
705	14	49
705	15	177
705	16	177
705	17	177
705	18	88
708	1	273
708	2	273
708	3	160
708	4	120
708	5	273
708	6	160
708	7	181
708	8	271
708	9	273
708	10	15
708	11	15
708	12	15
708	13	15
708	14	99
708	15	264
708	16	264
708	17	88
709	1	224
709	2	134
709	3	5
709	4	118
709	5	204
709	6	134
712	1	52
712	2	52
712	3	66
712	4	52
712	5	52
712	6	184
712	7	49
712	8	177
712	9	88
712	10	264
712	11	49
712	12	88
714	1	120
714	2	265
714	3	250
714	4	29
714	5	118
714	6	265
714	7	52
714	8	160
714	9	53
714	10	52
714	11	52
715	1	120
715	2	52
715	3	53
715	4	52
715	5	247
715	6	53
715	7	99
715	8	264
715	9	264
716	1	52
716	2	120
716	3	53
716	4	53
716	5	51
716	6	53
716	7	53
716	8	53
716	9	264
716	10	184
716	11	184
716	12	126
717	1	160
717	2	120
717	3	53
717	4	53
717	5	52
717	6	52
717	7	184
717	8	71
717	9	184
718	1	120
718	2	52
718	3	126
718	4	264
718	5	51
718	6	126
718	7	88
718	8	51
718	9	264
719	1	120
719	2	273
719	3	27
719	4	88
719	5	53
719	6	52
723	1	120
723	2	51
723	3	66
723	4	160
723	5	273
723	6	52
723	7	51
723	8	264
723	9	271
723	10	80
723	11	275
723	12	273
725	1	66
725	2	88
725	3	88
726	1	271
726	2	264
726	3	66
726	4	88
726	5	88
726	6	52
726	7	177
726	8	52
726	9	120
726	10	52
726	11	53
726	12	120
726	13	51
726	14	88
728	1	224
728	2	134
728	3	80
728	4	271
728	5	203
728	6	53
728	7	120
